gobject-introspection 1.72.0-1
gobject-introspection-runtime 1.72.0-1
gperf 3.1-3
gperftools 2.10-1
gpgme 1.17.1-1
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
granite 6.2.0-2
grapejuice-git 3.65.16.f9460f6-1
graphene 1.10.8-1
graphite 1:1.3.14-2
graphviz 5.0.0-1
grep 3.7-1
groff 1.22.4-7
grsync 1.3.0-1
grub 2:2.06.r261.g2f4430cc0-1
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsm 1.0.21-1
gsound 1.0.3-2
gspell 1.10.0-2
gssdp 1.4.0.1-1
gst-libav 1.20.3-1
gst-plugins-bad 1.20.3-1
gst-plugins-bad-libs 1.20.3-1
gst-plugins-base 1.20.3-1
gst-plugins-base-libs 1.20.3-1
gst-plugins-good 1.20.3-1
gstreamer 1.20.3-1
gtk-doc 1.33.2-1
gtk-theme-elementary 7.0.0-1
gtk-update-icon-cache 1:4.6.6-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtk4 1:4.6.6-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.6-1
gtksourceview4 4.8.3-1
gtksourceview5 5.4.2-1
gts 0.7.6.121130-2
guile 2.2.7-2
gupnp 1:1.4.3-1
gupnp-igd 1.2.0-2
gvfs 1.50.2-1
gvim 9.0.0135-1
gzip 1.12-1
harfbuzz 5.1.0-1
harfbuzz-icu 5.1.0-1
heroic-games-launcher-bin 2.2.6-1
heroku-cli 7.60.1-1
hicolor-icon-theme 0.17-2
hidapi 0.12.0-1
htop 3.2.1-1
http-parser 2.9.4-1
hunspell 1.7.0-4
hwdata 0.361-1
hwloc 2.8.0-1
hyphen 2.8.8-4
iana-etc 20220603-1
icu 71.1-1
ijs 0.35-4
imagemagick 7.1.0.45-1
imath 3.1.5-2
imlib2 1.9.1-1
inetutils 2.2-1
iniparser 4.1-4
intltool 0.51.0-6
iproute2 5.19.0-1
iptables-nft 1:1.8.8-2
iputils 20211215-1
iso-codes 4.11.0-1
jack2 1.9.21-1
jansson 2.14-2
jasper 3.0.6-1
java-environment-common 3-3
java-openjfx 18.0.2.u2-1
java-runtime-common 3-3
java8-openjfx 8.u202-4
jbig2dec 0.19-1
jdk8-openjdk 8.345.u01-1
jemalloc 1:5.3.0-1
jq 1.6-4
jre-openjdk 18.0.2.u9-1
jre-openjdk-headless 18.0.2.u9-1
jre8-openjdk 8.345.u01-1
jre8-openjdk-headless 8.345.u01-1
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
kaccounts-integration 22.04.3-1
kaccounts-providers 22.04.3-1
kactivities 5.96.0-1
kactivities-stats 5.96.0-1
kactivitymanagerd 5.25.4-1
karchive 5.96.0-1
kauth 5.96.0-1
kbackup 22.04.3-1
kbd 2.5.1-1
kbookmarks 5.96.0-1
kcalendarcore 5.96.0-1
kcmutils 5.96.0-1
kcodecs 5.96.0-1
kcompletion 5.96.0-1
kconfig 5.96.0-1
kconfigwidgets 5.96.0-1
kcontacts 1:5.96.0-1
kcoreaddons 5.96.0-1
kcrash 5.96.0-1
kdbusaddons 5.96.0-1
kde-cli-tools 5.25.4-1
kde-gtk-config 5.25.4-1
kdeclarative 5.96.0-1
kdeconnect 22.04.3-1
kdecoration 5.25.4-1
kded 5.96.0-1
kdelibs4support 5.96.0-1
kdeplasma-addons 5.25.4-1
kdesu 5.96.0-1
kdialog 22.04.3-1
kdnssd 5.96.0-1
kdsoap 2.0.0-1
kdsoap-ws-discovery-client git20200927-2
kemoticons 5.96.0-1
keyutils 1.6.3-1
kfilemetadata 5.96.0-1
kgamma5 5.25.4-1
kglobalaccel 5.96.0-1
kguiaddons 5.96.0-1
kholidays 1:5.96.0-1
khotkeys 5.25.4-1
ki18n 5.96.0-1
kiconthemes 5.96.0-1
kidletime 5.96.0-1
kinfocenter 5.25.4-1
kio 5.96.0-1
kio-extras 22.04.3-1
kio-fuse 5.0.1-1
kio-gdrive 22.04.3-1
kirigami2 5.96.0-1
kitemmodels 5.96.0-1
kitemviews 5.96.0-1
kjobwidgets 5.96.0-1
kmenuedit 5.25.4-1
kmod 30-1
knewstuff 5.96.0-1
knotifications 5.96.0-1
knotifyconfig 5.96.0-1
kpackage 5.96.0-1
kparts 5.96.0-1
kpeople 5.96.0-1
kpeoplevcard 0.1-1
kpty 5.96.0-1
kquickcharts 5.96.0-1
krb5 1.19.3-3
krunner 5.96.0-1
kscreen 5.25.4-1
kscreenlocker 5.25.4-1
kservice 5.96.0-1
ksshaskpass 5.25.4-1
ksystemstats 5.25.4-1
ktexteditor 5.96.0-1
ktextwidgets 5.96.0-1
kunitconversion 5.96.0-1
kuserfeedback 1.2.0-1
kwallet 5.96.0-1
kwallet-pam 5.25.4-1
kwayland 5.96.0-1
kwayland-integration 5.25.4-1
kwidgetsaddons 5.96.0-1
kwin 5.25.4-1
kwindowsystem 5.96.0-1
kwrited 5.25.4-1
kxmlgui 5.96.0-1
l-smash 2.14.5-2
lame 3.100-4
lapack 3.10.1-1
latte-dock 0.10.8-1
layer-shell-qt 5.25.4-1
lcms2 2.13.1-1
ldb 2:2.5.2-2
ldns 1.8.1-1
lensfun 1:0.3.3-1
less 1:590-1
lib32-acl 2.3.1-1
lib32-alsa-lib 1.2.7.2-1
lib32-alsa-plugins 1.2.7.1-1
lib32-attr 2.5.1-1
lib32-brotli 1.0.9-4
lib32-bzip2 1.0.8-2
lib32-curl 7.84.0-1
lib32-dbus 1.14.0-1
lib32-e2fsprogs 1.46.5-1
lib32-expat 2.4.8-1
lib32-faudio 22.07-1
lib32-flac 1.3.4-3
lib32-fontconfig 2:2.14.0-1
lib32-freetype2 2.12.1-1
lib32-gcc-libs 12.1.1-4
lib32-gettext 0.21-1
lib32-glib2 2.72.3-1
lib32-glibc 2.36-1
lib32-glu 9.0.2-3
lib32-gmp 6.2.1-1
lib32-gnutls 3.7.6-1
lib32-harfbuzz 5.1.0-1
lib32-icu 71.1-1
lib32-keyutils 1.6.3-1
lib32-krb5 1.19.3-2
lib32-lcms2 2.13.1-1
lib32-libasyncns 1:0.8+r3+g68cd5af-1
lib32-libcap 2.65-1
lib32-libdrm 2.4.112-1
lib32-libelf 0.187-1
lib32-libffi 3.4.2-4
lib32-libgcrypt 1.10.1-1
lib32-libglvnd 1.4.0-2
lib32-libgpg-error 1.45-1
lib32-libice 1.0.10-1
lib32-libidn2 2.3.3-1
lib32-libjpeg-turbo 2.1.3-1
lib32-libldap 2.6.3-1
lib32-libnl 3.7.0-1
lib32-libogg 1.3.5-1
lib32-libpcap 1.10.1-1
lib32-libpciaccess 0.16-1
lib32-libpng 1.6.37-3
lib32-libpng12 1.2.59-2
lib32-libpsl 0.21.1-2
lib32-libpulse 16.1-1
lib32-libsm 1.2.3-1
lib32-libsndfile 1.1.0-1
lib32-libssh2 1.10.0-1
lib32-libtasn1 4.18.0-1
lib32-libtiff 4.4.0-3
lib32-libtirpc 1.3.2-2
lib32-libunistring 1.0-1
lib32-libunwind 1.6.2-1
lib32-libvorbis 1.3.7-1
lib32-libx11 1.8.1-1
lib32-libxau 1.0.9-2
lib32-libxcb 1.15-1
lib32-libxcrypt 4.4.28-2
lib32-libxcursor 1.2.1-1
lib32-libxdamage 1.1.5-2
lib32-libxdmcp 1.1.3-1
lib32-libxext 1.3.4-2
lib32-libxfixes 6.0.0-1
lib32-libxi 1.8-1
lib32-libxml2 2.9.14-1
lib32-libxrandr 1.5.2-2
lib32-libxrender 0.9.10-3
lib32-libxshmfence 1.3-2
lib32-libxss 1.2.3-2
lib32-libxtst 1.2.3-3
lib32-libxxf86vm 1.1.4-3
lib32-llvm-libs 14.0.6-2
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-1
lib32-mesa 22.1.4-1
lib32-ncurses 6.3-1
lib32-nettle 3.8-1
lib32-nspr 4.34-1
lib32-nss 3.81-1
lib32-nvidia-utils 515.65.01-1
lib32-openal 1.22.2-1
lib32-openssl 1:1.1.1.q-1
